,process_start,boiling_stop,stretch_stop,floppiness,flostard,flüber,lard,flubberiness
0,2018-06-29 01:57:00,2018-06-29 04:06:00,2018-06-29 04:33:00,high,0.7264943225748187,20.667655160775674,19438.09784156319,596934.441784887
1,2018-06-29 03:44:00,2018-06-29 05:53:00,2018-06-29 06:16:00,low,0.8455238043146573,19.199459792368298,20082.66167545218,647730.4953910265
2,2018-06-29 05:31:00,2018-06-29 07:34:00,2018-06-29 07:59:00,low,0.028887480900588455,20.399000887831416,19184.70992764452,537041.2043197552
3,2018-06-29 05:49:00,2018-06-29 07:49:00,2018-06-29 08:10:00,medium,0.18816458153392002,20.363043899403742,18524.828633065947,588746.9397741554
4,2018-06-29 07:04:00,2018-06-29 09:05:00,2018-06-29 09:34:00,low,1.1560623339492486,21.36292966021382,21568.106682864396,542085.6763713739
5,2018-06-29 07:10:00,2018-06-29 09:19:00,2018-06-29 09:41:00,medium,1.7951463741371567,20.436036120498127,20633.227204915445,620256.7418708877
6,2018-06-29 08:46:00,2018-06-29 10:48:00,2018-06-29 11:14:00,medium,0.36667653591852983,19.749116305619488,21274.87063385545,572905.406115898
7,2018-06-29 09:29:00,2018-06-29 11:32:00,2018-06-29 11:59:00,low,2.2406726389862635,18.907521911621888,19938.860746969007,704518.2930614351
8,2018-06-29 09:52:00,2018-06-29 12:00:00,2018-06-29 12:21:00,high,1.2784947249025023,19.580409548643704,21123.607145281323,630962.9340041114
9,2018-06-29 12:00:00,2018-06-29 14:07:00,2018-06-29 14:36:00,medium,0.21064566897620182,19.04344758402941,20665.317539470612,598141.9214529635
10,2018-06-29 13:39:00,2018-06-29 15:46:00,2018-06-29 16:09:00,low,0.8079467512081324,21.398409195022445,19113.564491450423,579708.3112074917
11,2018-06-29 13:56:00,2018-06-29 16:04:00,2018-06-29 16:30:00,medium,0.43406823612294787,20.021796580899927,19289.757133365863,607757.5658163789
12,2018-06-29 15:45:00,2018-06-29 17:52:00,2018-06-29 18:17:00,low,0.20076141393926614,20.76970819359034,17617.937687636557,596380.6329877065
13,2018-06-29 16:11:00,2018-06-29 18:18:00,2018-06-29 18:39:00,medium,1.5399200674701825,19.24812272812097,19179.906989529085,685775.2492784625
14,2018-06-29 17:50:00,2018-06-29 19:52:00,2018-06-29 20:13:00,high,3.3663097662542594,19.85871432816251,19750.228266024882,691233.7981513691
15,2018-06-29 20:02:00,2018-06-29 22:07:00,2018-06-29 22:34:00,low,0.2644261490504778,20.65088031819892,21774.56945565683,513401.838388748
16,2018-06-29 23:59:00,2018-06-30 01:59:00,2018-06-30 02:27:00,low,0.08726024467827186,20.04488000339344,21056.010731611674,526950.2498215989
17,2018-06-30 01:21:00,2018-06-30 03:29:00,2018-06-30 03:56:00,high,0.9252013696808254,19.570716118401638,18973.559002279406,656737.9811674647
18,2018-06-30 02:14:00,2018-06-30 04:14:00,2018-06-30 04:35:00,high,1.305609732583617,17.964748240993888,20551.00995332486,707994.3936667562
19,2018-06-30 02:55:00,2018-06-30 05:00:00,2018-06-30 05:25:00,low,0.32329381463169365,20.02042608402014,19421.768898436032,596317.177480307
20,2018-06-30 03:23:00,2018-06-30 05:29:00,2018-06-30 05:49:00,medium,1.1561555856325152,19.762828979313763,20825.512902973715,624201.1202472049
21,2018-06-30 03:29:00,2018-06-30 05:36:00,2018-06-30 06:04:00,high,0.7295362529246486,21.296103321710664,20421.587206075044,550973.4674155371
22,2018-06-30 04:33:00,2018-06-30 06:35:00,2018-06-30 06:56:00,low,0.04969934164376608,20.542180190128498,19410.38734480325,534585.9435882817
23,2018-06-30 07:43:00,2018-06-30 09:52:00,2018-06-30 10:19:00,medium,0.14834832325952219,19.62692449286542,21124.15103468435,555386.0057325528
24,2018-06-30 12:17:00,2018-06-30 14:19:00,2018-06-30 14:41:00,low,0.20698410398593764,21.288118242492747,19694.333824919482,528769.5562774843
25,2018-06-30 13:05:00,2018-06-30 15:10:00,2018-06-30 15:35:00,medium,5.170434599379212,20.042405255535133,18766.46148651416,723928.3633391842
26,2018-06-30 14:25:00,2018-06-30 16:28:00,2018-06-30 16:53:00,low,0.7353563798977304,19.379899260765406,18810.68134358491,658579.4963536954
27,2018-06-30 16:08:00,2018-06-30 18:14:00,2018-06-30 18:42:00,high,0.864622654480645,18.307829648263517,19762.055451952452,689337.492573411
28,2018-06-30 16:59:00,2018-06-30 19:02:00,2018-06-30 19:25:00,high,1.3273428870136201,19.569254318605466,19490.014114390575,661795.3359025213
29,2018-06-30 17:31:00,2018-06-30 19:38:00,2018-06-30 20:04:00,high,0.7808026316034948,20.866084407495542,20417.978707557515,571063.7080158003
30,2018-06-30 18:06:00,2018-06-30 20:12:00,2018-06-30 20:36:00,low,2.4436137505856146,19.695429944059867,19588.613251448092,683382.2279065739
31,2018-06-30 23:34:00,2018-07-01 01:35:00,2018-07-01 02:03:00,high,1.6498441131373218,20.40774128375644,19798.015611447834,633039.0032926376
32,2018-06-30 23:48:00,2018-07-01 01:54:00,2018-07-01 02:18:00,low,0.5158345319173886,20.86475065287128,18532.121025283883,597475.196793011
33,2018-07-01 00:26:00,2018-07-01 02:27:00,2018-07-01 02:55:00,medium,0.4419595158121997,20.01064641420052,19726.039541200757,599779.8976619486
34,2018-07-01 01:53:00,2018-07-01 03:55:00,2018-07-01 04:15:00,low,3.0549880203135924,17.967366877301764,20418.113917841703,751971.4461723214
35,2018-07-01 02:41:00,2018-07-01 04:44:00,2018-07-01 05:09:00,medium,0.421033028620793,20.260614678042455,21179.68357820196,557824.1008470119
36,2018-07-01 03:46:00,2018-07-01 05:54:00,2018-07-01 06:17:00,high,2.0032201541557733,19.69116015435974,18488.254042379336,692390.5523158303
37,2018-07-01 04:14:00,2018-07-01 06:15:00,2018-07-01 06:39:00,low,1.7735917788826139,19.31729152203221,22139.25072335142,640863.3981865997
38,2018-07-01 13:18:00,2018-07-01 15:20:00,2018-07-01 15:44:00,high,0.7725399062206058,19.462508708592456,20095.579355023554,633532.7455134467
39,2018-07-01 15:10:00,2018-07-01 17:14:00,2018-07-01 17:40:00,high,2.5570822280099104,20.53954574434617,20267.58152453354,640642.8160780937
40,2018-07-01 20:38:00,2018-07-01 22:42:00,2018-07-01 23:02:00,low,0.1021949533025572,18.295834544161757,19575.843025167225,631751.9014467142
41,2018-07-01 22:45:00,2018-07-02 00:52:00,2018-07-02 01:17:00,high,0.10852941260203997,19.613090296982698,21331.154163314746,543983.1877274312
42,2018-07-01 23:31:00,2018-07-02 01:31:00,2018-07-02 01:53:00,high,1.209009787640217,20.29727999131031,18921.311476286137,640588.8241334258
43,2018-07-02 00:08:00,2018-07-02 02:11:00,2018-07-02 02:32:00,medium,2.2116469030467716,20.3434240155791,18556.298106643884,671648.0420211881
44,2018-07-02 00:38:00,2018-07-02 02:45:00,2018-07-02 03:10:00,medium,0.17383007278596374,19.627466545425303,19970.4949630482,583660.1761850907
45,2018-07-02 01:23:00,2018-07-02 03:31:00,2018-07-02 03:57:00,high,0.32237365321752415,20.64835438262553,19646.064643981612,567038.4696771457
46,2018-07-02 02:29:00,2018-07-02 04:30:00,2018-07-02 04:52:00,high,1.1162413605979469,17.004978619349345,20715.273978204692,738355.5061149898
47,2018-07-02 05:31:00,2018-07-02 07:39:00,2018-07-02 08:04:00,medium,0.1794893201894281,19.55742412089578,20863.8713603443,568614.866010014
48,2018-07-02 07:30:00,2018-07-02 09:37:00,2018-07-02 09:58:00,low,1.2085537361543366,20.507953900322885,19970.768334508048,612080.6646354831
49,2018-07-02 07:41:00,2018-07-02 09:44:00,2018-07-02 10:09:00,high,0.6687184509899343,19.6363493883366,19299.61731343186,636440.4194843174
50,2018-07-02 08:00:00,2018-07-02 10:02:00,2018-07-02 10:30:00,low,1.1415545549278203,20.161891695240406,19949.525880811285,623870.473166593
51,2018-07-02 08:39:00,2018-07-02 10:47:00,2018-07-02 11:09:00,low,0.7371997885758101,19.47908360331884,20783.97886358405,618370.3036215609
52,2018-07-02 08:53:00,2018-07-02 10:53:00,2018-07-02 11:15:00,low,0.04436649220572474,19.67051457431421,21229.842235251257,525325.4941689568
53,2018-07-02 09:02:00,2018-07-02 11:03:00,2018-07-02 11:25:00,high,0.25352106561782706,20.732063763646174,19954.10258973333,549971.7799029825
54,2018-07-02 11:01:00,2018-07-02 13:10:00,2018-07-02 13:35:00,low,0.8561487838624827,20.24477853792309,19331.972200122353,621345.8346908874
55,2018-07-02 11:21:00,2018-07-02 13:26:00,2018-07-02 13:49:00,medium,0.12832628857273823,20.57170098757338,19340.04492977011,553603.562119227
56,2018-07-02 17:40:00,2018-07-02 19:47:00,2018-07-02 20:14:00,high,0.6933806354099948,19.63957768462584,18147.52095416574,659481.340905687
57,2018-07-02 18:06:00,2018-07-02 20:12:00,2018-07-02 20:41:00,medium,0.14851110844837498,21.354947439329905,20009.292778981904,510329.1415006344
